timestamp,pair,scoring_profile,alns_deadline_s,returncode,duration_sec,log_path,summary_path
20260712_001134_baseline_d5,baseline:5,baseline,5,1,0.169,C:\Users\82103\OneDrive\바탕 화면\OGC2026\OGC_2026\reports\sweep_smoke\logs\20260712_001134_baseline_d5_r1.log,C:\Users\82103\OneDrive\바탕 화면\OGC2026\OGC_2026\reports\sweep_smoke\summaries\20260712_001134_baseline_d5_r1.txt
20260712_001134_forced,forced_risk_20:5,forced_risk_20,5,1,0.104,C:\Users\82103\OneDrive\바탕 화면\OGC2026\OGC_2026\reports\sweep_smoke\logs\20260712_001134_forced_risk_20_d5_r1.log,C:\Users\82103\OneDrive\바탕 화면\OGC2026\OGC_2026\reports\sweep_smoke\summaries\20260712_001134_forced_risk_20_d5_r1.txt
